Canada, 1952, 8425333
Canada, 1957, 9240934
Canada, 1962, 10267083
Canada, 1967, 11537966
Canada, 1972, 13079460
Canada, 1977, 14880372
Canada, 1982, 12881816
Canada, 1987, 13867957
Canada, 1992, 16317921
Canada, 1997, 22227415
Canada, 2002, 25268405
Canada, 2007, 31889923
Canada, 1952, 1282697
Canada, 1957, 1476505
Canada, 1962, 1728137
Canada, 1967, 1984060
Canada, 1972, 2263554
Canada, 1977, 2509048
Canada, 1982, 2780097
Canada, 1987, 3075321
Canada, 1992, 3326498
Canada, 1997, 3428038
Canada, 2002, 3508512
Canada, 2007, 3600523
Canada, 1952, 9279525
Canada, 1957, 10270856
Canada, 1962, 11000948
Canada, 1967, 12760499
Canada, 1972, 14760787
Canada, 1977, 17152804
Canada, 1982, 20033753
Canada, 1987, 23254956
Canada, 1992, 26298373
Canada, 1997, 29072015
Canada, 2002, 31287142
Canada, 2007, 33333216
Canada, 1952, 4232095
Canada, 1957, 4561361
Canada, 1962, 4826015
Canada, 1967, 5247469
Canada, 1972, 5894858
Canada, 1977, 6162675
Canada, 1982, 7016384
Canada, 1987, 7874230
Canada, 1992, 8735988
Canada, 1997, 9875024
Canada, 2002, 10866106
Canada, 2007, 12420476
Canada, 1952, 17876956
Canada, 1957, 19610538
Canada, 1962, 21283783
Canada, 1967, 22934225
Canada, 1972, 24779799
Canada, 1977, 26983828
Canada, 1982, 29341374
Canada, 1987, 31620918
Canada, 1992, 33958947
Canada, 1997, 36203463
Canada, 2002, 38331121
Canada, 2007, 40301927
Canada, 1952, 8691212
Canada, 1957, 9712569
Canada, 1962, 10794968
Canada, 1967, 11872264
Canada, 1972, 13177000
Canada, 1977, 14074100
Canada, 1982, 15184200
Canada, 1987, 16257249
Canada, 1992, 17481977
Canada, 1997, 18565243
Canada, 2002, 19546792
Canada, 2007, 20434176
Canada, 1952, 6927772
Canada, 1957, 6965860
Canada, 1962, 7129864
Canada, 1967, 7376998
Canada, 1972, 7544201
Canada, 1977, 7568430
Canada, 1982, 7574613
Canada, 1987, 7578903
Canada, 1992, 7914969
Canada, 1997, 8069876
Canada, 2002, 8148312
Canada, 2007, 8199783
Canada, 1952, 120447
Canada, 1957, 138655
Canada, 1962, 171863
Canada, 1967, 202182
Canada, 1972, 230800
Canada, 1977, 297410
Canada, 1982, 377967
Canada, 1987, 454612
Canada, 1992, 529491
Canada, 1997, 598561
Canada, 2002, 656397
Canada, 2007, 708573
Canada, 1952, 46886859
Canada, 1957, 51365468
Canada, 1962, 56839289
Canada, 1967, 62821884
Canada, 1972, 70759295
Canada, 1977, 80428306
Canada, 1982, 93074406
Canada, 1987, 103764241
Canada, 1992, 113704579
Canada, 1997, 123315288
Canada, 2002, 135656790
Canada, 2007, 150448339
Canada, 1952, 8730405
Canada, 1957, 8989111
Canada, 1962, 9218400
Canada, 1967, 9556500
Canada, 1972, 9709100
Canada, 1977, 9821800
Canada, 1982, 9856303
Canada, 1987, 9870200
Canada, 1992, 10045622
Canada, 1997, 10199787
Canada, 2002, 10311970
Canada, 2007, 10392226
Canada, 1952, 1738315
Canada, 1957, 1925173
Canada, 1962, 2151895
Canada, 1967, 2427334
Canada, 1972, 2761407
Canada, 1977, 3168267
Canada, 1982, 3641603
Canada, 1987, 4243788
Canada, 1992, 4981671
Canada, 1997, 6066080
Canada, 2002, 7026113
Canada, 2007, 8078314
Canada, 1952, 2883315
Canada, 1957, 3211738
Canada, 1962, 3593918
Canada, 1967, 4040665
Canada, 1972, 4565872
Canada, 1977, 5079716
Canada, 1982, 5642224
Canada, 1987, 6156369
Canada, 1992, 6893451
Canada, 1997, 7693188
Canada, 2002, 8445134
Canada, 2007, 9119152
Canada, 1952, 2791000
Canada, 1957, 3076000
Canada, 1962, 3349000
Canada, 1967, 3585000
Canada, 1972, 3819000
Canada, 1977, 4086000
Canada, 1982, 4172693
Canada, 1987, 4338977
Canada, 1992, 4256013
Canada, 1997, 3607000
Canada, 2002, 4165416
Canada, 2007, 4552198
Canada, 1952, 442308
Canada, 1957, 474639
Canada, 1962, 512764
Canada, 1967, 553541
Canada, 1972, 619351
Canada, 1977, 781472
Canada, 1982, 970347
Canada, 1987, 1151184
Canada, 1992, 1342614
Canada, 1997, 1536536
Canada, 2002, 1630347
Canada, 2007, 1639131
Canada, 1952, 56602560
Canada, 1957, 65551171
Canada, 1962, 76039390
Canada, 1967, 88049823
Canada, 1972, 100840058
Canada, 1977, 114313951
Canada, 1982, 128962939
Canada, 1987, 142938076
Canada, 1992, 155975974
Canada, 1997, 168546719
Canada, 2002, 179914212
Canada, 2007, 190010647
Canada, 1952, 7274900
Canada, 1957, 7651254
Canada, 1962, 8012946
Canada, 1967, 8310226
Canada, 1972, 8576200
Canada, 1977, 8797022
Canada, 1982, 8892098
Canada, 1987, 8971958
Canada, 1992, 8658506
Canada, 1997, 8066057
Canada, 2002, 7661799
Canada, 2007, 7322858
Canada, 1952, 4469979
Canada, 1957, 4713416
Canada, 1962, 4919632
Canada, 1967, 5127935
Canada, 1972, 5433886
Canada, 1977, 5889574
Canada, 1982, 6634596
Canada, 1987, 7586551
Canada, 1992, 8878303
Canada, 1997, 10352843
Canada, 2002, 12251209
Canada, 2007, 14326203
Canada, 1952, 2445618
Canada, 1957, 2667518
Canada, 1962, 2961915
Canada, 1967, 3330989
Canada, 1972, 3529983
Canada, 1977, 3834415
Canada, 1982, 4580410
Canada, 1987, 5126023
Canada, 1992, 5809236
Canada, 1997, 6121610
Canada, 2002, 7021078
Canada, 2007, 8390505
Canada, 1952, 4693836
Canada, 1957, 5322536
Canada, 1962, 6083619
Canada, 1967, 6960067
Canada, 1972, 7450606
Canada, 1977, 6978607
Canada, 1982, 7272485
Canada, 1987, 8371791
Canada, 1992, 10150094
Canada, 1997, 11782962
Canada, 2002, 12926707
Canada, 2007, 14131858
Canada, 1952, 5009067
Canada, 1957, 5359923
Canada, 1962, 5793633
Canada, 1967, 6335506
Canada, 1972, 7021028
Canada, 1977, 7959865
Canada, 1982, 9250831
Canada, 1987, 10780667
Canada, 1992, 12467171
Canada, 1997, 14195809
Canada, 2002, 15929988
Canada, 2007, 17696293
Canada, 1952, 14785584
Canada, 1957, 17010154
Canada, 1962, 18985849
Canada, 1967, 20819767
Canada, 1972, 22284500
Canada, 1977, 23796400
Canada, 1982, 25201900
Canada, 1987, 26549700
Canada, 1992, 28523502
Canada, 1997, 30305843
Canada, 2002, 31902268
Canada, 2007, 33390141
Canada, 1952, 1291695
Canada, 1957, 1392284
Canada, 1962, 1523478
Canada, 1967, 1733638
Canada, 1972, 1927260
Canada, 1977, 2167533
Canada, 1982, 2476971
Canada, 1987, 2840009
Canada, 1992, 3265124
Canada, 1997, 3696513
Canada, 2002, 4048013
Canada, 2007, 4369038
Canada, 1952, 2682462
Canada, 1957, 2894855
Canada, 1962, 3150417
Canada, 1967, 3495967
Canada, 1972, 3899068
Canada, 1977, 4388260
Canada, 1982, 4875118
Canada, 1987, 5498955
Canada, 1992, 6429417
Canada, 1997, 7562011
Canada, 2002, 8835739
Canada, 2007, 10238807
Canada, 1952, 6377619
Canada, 1957, 7048426
Canada, 1962, 7961258
Canada, 1967, 8858908
Canada, 1972, 9717524
Canada, 1977, 10599793
Canada, 1982, 11487112
Canada, 1987, 12463354
Canada, 1992, 13572994
Canada, 1997, 14599929
Canada, 2002, 15497046
Canada, 2007, 16284741
Canada, 1952, 556263527
Canada, 1957, 637408000
Canada, 1962, 665770000
Canada, 1967, 754550000
Canada, 1972, 862030000
Canada, 1977, 943455000
Canada, 1982, 1000281000
Canada, 1987, 1084035000
Canada, 1992, 1164970000
Canada, 1997, 1230075000
Canada, 2002, 1280400000
